Date,Open,High,Low,Close,Volume
2022-01-03,100.20158905215216,101.19783142576533,99.080908198501,100.4616039116562,4798600.0
2022-01-04,99.15520715017058,99.40440738798212,97.27766156658548,99.04670819598337,1543334.0
2022-01-05,100.7603967463604,101.26994352398846,99.14199065623038,100.1468678126888,3066594.0
2022-01-06,101.3943253628078,101.84636044220949,100.29745936440693,101.53824938186087,1068886.0
2022-01-07,98.47487139663075,99.56300953479847,98.2437654726899,98.8509241373319,3261249.0
2022-01-10,96.67801360094327,98.82458134647653,95.48266993182347,97.1446304892979,2241471.0
2022-01-11,97.89222751009727,99.17027936072648,96.72000343875412,97.4241563355322,2679016.0
2022-01-12,96.19002998099721,98.48179250907023,95.79374149761561,97.11003718185684,3282736.0
2022-01-13,96.82730987393863,97.82604807079088,96.45145541296334,97.21492147027774,2618619.0
2022-01-14,95.86671360241854,97.41302287403023,95.17739542964692,96.1923130029673,2970359.0
2022-01-17,96.55824022620394,98.79055242344066,96.23268452415496,97.52353560029218,4823853.0
2022-01-18,98.72806211271974,99.49394163189466,97.79108011789309,98.74414683105803,5051512.0
2022-01-19,99.35615410674505,100.18307648884814,97.37968181736079,99.00539672225214,1029316.0
2022-01-20,99.99376775837861,100.86617572519154,99.92817159953975,100.74705543282722,2889188.0
2022-01-21,101.18719271455365,102.05987124263412,100.37801080320071,101.59719960762772,5234431.0
2022-01-24,101.20668578533139,101.57350704587438,99.88920898935105,100.57514772626361,3652205.0
2022-01-25,101.38366138254094,101.68291763563877,100.49543933626147,101.29962294127985,2026402.0
2022-01-26,100.30773766765444,100.53556913954542,99.3035608852976,100.15294315755379,3967577.0
2022-01-27,102.11820525171942,103.14722523412361,101.28224559940112,101.60114306920349,1724644.0
2022-01-28,103.1955647077266,103.56758749139945,101.49437786492979,101.75479918133912,1109156.0
2022-01-31,101.02312503258977,102.78390402653478,100.4647915913208,101.72077139063684,4162127.0
2022-02-01,100.75616196843009,102.52528753779912,99.7575234563206,100.98385130652676,3575666.0
2022-02-02,102.22955223470032,104.78217875927471,101.68299366011203,102.94608708708826,4782507.0
2022-02-03,103.05449031530655,103.31455674795991,102.82618326041029,102.96374586961508,2724156.0
2022-02-04,102.52603331536379,103.47223693016056,101.91582733433798,102.58791113961951,5271416.0
2022-02-07,102.1735633930823,103.10844827782023,101.87683415359841,102.32324667881947,3106400.0
2022-02-08,103.14426499931128,103.56974125075901,101.85562688789382,103.32580578048535,4690097.0
2022-02-09,103.43128179588277,105.53628598618795,102.46845200283214,104.09553990977555,1501436.0
2022-02-10,104.7812395332249,105.81660364540991,104.39282713640974,104.93782871908199,1485761.0
2022-02-11,104.7988939362011,106.76060533925772,104.5034547486121,105.81057893187074,4914102.0
2022-02-14,109.19576325898838,109.61013811531912,108.87173668806989,109.22115346990662,5169930.0
2022-02-15,108.54438251714802,109.28432822689891,108.22276702016042,108.84072032494257,5712021.0
2022-02-16,108.72222858954905,110.07314756900409,107.9313038876139,108.29486343653625,2623111.0
2022-02-17,106.85583994264434,107.47707067315469,106.66394435813494,107.2883467683933,1111344.0
2022-02-18,108.52185584886192,108.96945856731026,107.07959961255563,108.43180069323336,5899522.0
2022-02-21,110.84340771622946,111.01675487745842,108.54024843496586,110.35846567890728,4006863.0
2022-02-22,110.65725190632305,111.42077980349696,109.90001434284159,110.39046603978362,2235607.0
2022-02-23,109.66320728048883,110.48977951575269,108.17446135105733,109.2909055024823,4819220.0
2022-02-24,108.91153780659543,109.23221908077721,106.81795445296105,108.21650656969656,5519479.0
2022-02-25,109.64045911310279,109.6429719228823,107.49593677576549,109.3771896519225,2424037.0
2022-02-28,110.54406729662098,111.25045158078646,109.42272994129637,110.68129001224317,4848342.0
