Date,SPY,QQQ,IWM,TLT,IEF,GLD,DBC,UUP
2022-10-26,364.5484313964844,272.01263427734375,171.33419799804688,83.85678100585938,83.82305145263672,154.97999572753906,22.240726470947266,25.431974411010742
2022-10-27,362.60174560546875,267.0604248046875,171.3724822998047,84.73481750488281,84.41632843017578,154.74000549316406,22.275531768798828,25.63025665283203
2022-10-28,371.22821044921875,275.2326354980469,175.26707458496094,84.1523666381836,83.98243713378906,153.16000366210938,22.01449203491211,25.673362731933594
2022-10-31,368.5467834472656,272.0322570800781,175.42977905273438,83.55255126953125,83.60167694091797,151.91000366210938,21.857866287231445,25.88888931274414
2022-11-01,366.9341125488281,269.2527160644531,175.6689910888672,84.3333740234375,83.58657836914062,153.4600067138672,22.188518524169922,25.880268096923828
2022-11-02,357.7254638671875,260.0234375,169.84144592285156,83.96734619140625,83.4445571899414,152.38999938964844,22.388648986816406,25.992340087890625
2022-11-03,354.0419616699219,254.94398498535156,168.70272827148438,83.5141830444336,83.08073425292969,151.80999755859375,22.371244430541992,26.207866668701172
2022-11-04,359.1376953125,259.0447082519531,170.98013305664062,82.11109924316406,82.9032211303711,156.47000122070312,23.128267288208008,25.716468811035156
2022-11-07,362.5731201171875,261.89288330078125,171.7552490234375,81.29190826416016,82.61039733886719,155.85000610351562,22.928136825561523,25.569910049438477
2022-11-08,364.5293273925781,263.80126953125,171.82223510742188,82.18077850341797,83.16059875488281,159.4499969482422,22.64969253540039,25.457839965820312
2022-11-09,357.0191955566406,257.7137145996094,167.10467529296875,82.45098114013672,83.4445571899414,158.64999389648438,22.127609252929688,25.647502899169922
2022-11-10,376.6390380859375,276.73004150390625,177.3914337158203,85.6231918334961,85.3170394897461,163.47999572753906,22.327739715576172,25.061269760131836
2022-11-11,380.2843017578125,281.8291320800781,178.84591674804688,85.30946350097656,85.13957977294922,164.55999755859375,22.754108428955078,24.699188232421875
2022-11-14,377.04931640625,279.36279296875,176.84597778320312,85.10028839111328,84.93545532226562,164.9199981689453,22.414752960205078,24.811262130737305
2022-11-15,380.26513671875,283.22869873046875,179.4679412841797,86.47723388671875,85.56551361083984,165.5,22.67579460144043,24.725053787231445
2022-11-16,377.3642272949219,279.36279296875,176.31011962890625,88.36835479736328,86.19560241699219,165.1199951171875,22.42345428466797,24.673328399658203
2022-11-17,376.20953369140625,278.7462158203125,174.673828125,87.43585968017578,85.60990142822266,163.9199981689453,22.04929542541504,24.768156051635742
2022-11-18,377.9176330566406,278.7559509277344,175.80296325683594,86.83454895019531,85.30817413330078,162.7899932861328,21.892671585083008,24.83712387084961
2022-11-21,376.5435791015625,275.8883972167969,174.8843231201172,87.20056915283203,85.25491333007812,161.8800048828125,21.814359664916992,25.052648544311523
2022-11-22,381.61065673828125,279.8619384765625,176.75027465820312,88.43805694580078,85.74301147460938,162.07000732421875,22.04059410095215,24.897472381591797
2022-11-23,384.0154724121094,282.6707763671875,177.20960998535156,89.9805679321289,86.20447540283203,163.0800018310547,21.736047744750977,24.638839721679688
2022-11-25,383.9295349121094,280.81134033203125,177.5828399658203,89.67559814453125,86.1778564453125,163.22000122070312,21.54461669921875,24.638839721679688
2022-11-28,377.80322265625,276.69091796875,174.0039825439453,89.92830657958984,86.21331787109375,161.92999267578125,21.414094924926758,24.819883346557617
2022-11-29,377.15423583984375,274.5965270996094,174.5111541748047,88.87380981445312,85.84949493408203,162.72999572753906,21.69253921508789,24.86298942565918
2022-11-30,389.03485107421875,287.1141662597656,179.29566955566406,89.52738952636719,86.6215591430664,164.80999755859375,22.1798152923584,24.664705276489258
2022-12-01,388.7485656738281,287.46649169921875,178.9033660888672,92.38745880126953,87.56768798828125,167.83999633789062,22.06669807434082,24.36297035217285
