Date,SPY,QQQ,IWM,TLT,IEF,GLD,DBC,UUP
2020-01-01,101.08734238312034,101.31476725098435,99.55853816077361,100.48282058520704,99.924731755875,100.48502871801111,100.77293225855057,100.21591417099603
2020-01-02,101.74441574050338,101.87959111968516,99.36986297325706,101.19793280295943,99.54135825030865,101.01527507964121,101.54779617842664,100.93247074840781
2020-01-03,101.26576766683321,103.88981123620107,99.90173665190038,100.8069836912985,99.01322713908013,101.46773599199526,101.5450867701927,100.4071040605648
2020-01-06,100.15904650698087,102.97677805137407,98.58590252153995,102.20214349187371,100.12957148940885,102.60280485196964,102.39191275849929,100.35264184336022
2020-01-07,100.24867206510734,104.10774654999445,101.6812222447506,102.47702621890772,99.68265804256032,103.33344800766665,102.72179530111913,100.385011589644
2020-01-08,100.0990588473704,104.34800331919125,104.23977001283333,102.24547697463657,100.2603902211018,105.59328969261075,103.68576703721932,101.30248323533992
2020-01-09,100.8497374871288,104.06174012276344,104.76450161614194,102.14715192500692,100.05592720674092,105.4826251842234,103.9057133818304,101.5145252979742
2020-01-10,99.99263340088011,103.87608446601763,102.38745509211911,102.82706862791566,100.7140546235602,105.526355411289,104.08224625228092,101.6849838637881
2020-01-13,99.36257864114052,103.46506011157499,102.88931515438075,103.81768619867948,101.06323840060031,108.18433876099576,104.48033605207611,102.1564216109113
2020-01-14,100.65600945846174,103.6634376336822,102.12210406603674,102.66162314309078,101.022082317345,108.97338994008325,104.52093976708727,102.04473073649092
2020-01-15,100.30953730896839,104.29953994324326,99.23542693966809,103.19392653198885,101.26737170712813,107.51869968604828,106.56832977289241,101.31874645778369
2020-01-16,99.26378928180156,102.60412333459084,100.19360379397682,102.73659467909395,101.81038106400102,107.69468773020017,106.4280607809869,100.54997071476149
2020-01-17,98.69093131902397,104.51796626853354,98.6960430989302,102.06284280806017,101.71137062997371,108.06746268634271,106.27767355169996,100.62981072254927
