Date,Asset,prev_weight,target_weight,delta_weight,estimated_cost
2024-10-14,QQQ,4.126221229054083e-15,3.8139189476541634e-06,3.8139189435279423e-06,1.906959471763971e-09
2024-10-14,TLT,0.0,1.6366712975106638e-06,1.6366712975106638e-06,8.18335648755332e-10
2024-10-14,IEF,0.0,4.2562316037925075e-05,4.2562316037925075e-05,2.1281158018962538e-08
2024-10-14,GLD,0.0,0.00010376551945057916,0.00010376551945057916,5.1882759725289585e-08
2024-10-14,DBC,0.0,1.92384579602619e-06,1.92384579602619e-06,9.61922898013095e-10
2024-10-14,UUP,0.0,0.00016259229641793399,0.00016259229641793399,8.1296148208967e-08
2024-10-14,__CASH__,0.9999999999999959,0.9996836953586468,-0.00031630464134912994,1.5815232067456496e-07
2024-10-21,QQQ,3.8139189476541634e-06,0.0,-3.8139189476541634e-06,1.906959473827082e-09
2024-10-21,TLT,1.6366712975106638e-06,7.916787287288561e-16,-1.636671296718985e-06,8.183356483594924e-10
2024-10-21,IEF,4.2562316037925075e-05,0.0,-4.2562316037925075e-05,2.1281158018962538e-08
2024-10-21,GLD,0.00010376551945057916,3.1939164854629077e-16,-0.00010376551945025976,5.188275972512988e-08
2024-10-21,DBC,1.92384579602619e-06,0.0,-1.92384579602619e-06,9.61922898013095e-10
2024-10-21,UUP,0.00016259229641793399,0.0,-0.00016259229641793399,8.1296148208967e-08
2024-10-21,__CASH__,0.9996836953586468,0.9999999999999973,0.00031630464135057323,1.581523206752866e-07
2025-02-10,IEF,0.0,1.700670246331792e-08,1.700670246331792e-08,8.50335123165896e-12
2025-02-10,UUP,4.2596330157308893e-14,3.096132018772423e-07,3.096131592809122e-07,1.5480657964045607e-10
2025-02-10,__CASH__,0.9999999999998276,0.9999996710342437,-3.289655838845107e-07,1.6448279194225534e-10
2025-02-18,IEF,1.700670246331792e-08,2.0816681711721685e-16,-1.7006702255151102e-08,8.50335112757555e-12
2025-02-18,UUP,3.096132018772423e-07,5.551115123125783e-17,-3.0961320182173117e-07,1.5480660091086558e-10
2025-02-18,__CASH__,0.9999996710342437,0.9999999999999991,3.28965755413968e-07,1.64482877706984e-10
2026-01-26,QQQ,1.363730986013304e-16,3.3416562625046818e-06,3.3416562623683086e-06,1.6708281311841544e-09
2026-01-26,TLT,1.3677135628777264e-16,2.5108059073594763e-08,2.5108058936823407e-08,1.2554029468411705e-11
2026-01-26,IEF,5.810227001553405e-16,1.1902582884239867e-08,1.1902582303217167e-08,5.951291151608584e-12
2026-01-26,GLD,7.172886093841739e-17,3.233425853645948e-05,3.233425853638775e-05,1.6167129268193875e-08
2026-01-26,UUP,2.094093085717205e-16,5.012135676025888e-05,5.012135676004947e-05,2.5060678380024738e-08
2026-01-26,__CASH__,0.9999999999999989,0.9999141657177986,-8.583428220032552e-05,4.291714110016276e-08
2026-02-02,QQQ,3.3416562625046818e-06,7.050831336339854e-17,-3.3416562624341735e-06,1.6708281312170867e-09
2026-02-02,TLT,2.5108059073594763e-08,0.0,-2.5108059073594763e-08,1.2554029536797381e-11
2026-02-02,IEF,1.1902582884239867e-08,1.27675647831893e-15,-1.1902581607483389e-08,5.951290803741694e-12
2026-02-02,GLD,3.233425853645948e-05,0.0,-3.233425853645948e-05,1.616712926822974e-08
2026-02-02,UUP,5.012135676025888e-05,0.0,-5.012135676025888e-05,2.506067838012944e-08
2026-02-02,__CASH__,0.9999141657177986,0.9999999999999983,8.58342821997704e-05,4.2917141099885204e-08
