Date,net_return
2024-02-07,0.0
2024-02-08,0.0
2024-02-09,0.0
2024-02-12,0.0
2024-02-13,0.0
2024-02-14,0.0
2024-02-15,0.0
2024-02-16,0.0
2024-02-20,0.0
2024-02-21,0.0
2024-02-22,0.0
2024-02-23,0.0
2024-02-26,0.0
2024-02-27,0.0
2024-02-28,0.0
2024-02-29,0.0
2024-03-01,0.0
2024-03-04,0.0
2024-03-05,0.0
2024-03-06,0.0
2024-03-07,0.0
2024-03-08,0.0
2024-03-11,0.0
2024-03-12,0.0
2024-03-13,0.0
2024-03-14,0.0
2024-03-15,0.0
2024-03-18,0.0
2024-03-19,0.0
2024-03-20,0.0
2024-03-21,0.0
2024-03-22,0.0
2024-03-25,0.0
2024-03-26,0.0
2024-03-27,0.0
2024-03-28,0.0
2024-04-01,0.0
2024-04-02,0.0019908540736457286
2024-04-03,0.002406712421930699
2024-04-04,-0.002805617350477954
2024-04-05,0.010043518468422183
2024-04-08,0.004446364024677493
2024-04-09,0.004722349493731589
2024-04-10,-0.009613856185613851
2024-04-11,0.016293260122968896
2024-04-12,-0.013464324939518515
2024-04-15,0.015686281914870013
2024-04-16,0.000997015280335942
2024-04-17,-0.007368252752093074
2024-04-18,0.0034154561341945833
2024-04-19,0.003131535140574737
2024-04-22,-0.02470249054532203
2024-04-23,-0.002314863696555344
2024-04-24,-0.0015270635057707785
2024-04-25,0.003054907429254458
2024-04-26,0.0010717709414196448
2024-04-29,-0.0007328045094223937
2024-04-30,-0.002218707884456142
2024-05-01,-0.00015
2024-05-02,0.0
2024-05-03,0.0
2024-05-06,0.0
2024-05-07,0.0
2024-05-08,0.0
2024-05-09,0.0
2024-05-10,0.0
2024-05-13,0.0
2024-05-14,0.0
2024-05-15,0.0
2024-05-16,0.0
2024-05-17,0.0
2024-05-20,0.0
2024-05-21,0.0
2024-05-22,0.0
2024-05-23,0.0
2024-05-24,0.0
2024-05-28,0.0
2024-05-29,0.0
2024-05-30,0.0
2024-05-31,0.0
2024-06-03,0.0
2024-06-04,0.0
2024-06-05,0.0
2024-06-06,0.0
2024-06-07,0.0
2024-06-10,0.0
2024-06-11,0.0
2024-06-12,0.0
2024-06-13,0.0
2024-06-14,0.0
2024-06-17,0.0
2024-06-18,0.0
2024-06-20,0.0
2024-06-21,0.0
2024-06-24,0.0
2024-06-25,0.0
2024-06-26,0.0
2024-06-27,0.0
2024-06-28,0.0
2024-07-01,0.0
2024-07-02,0.0
2024-07-03,0.0
2024-07-05,0.0
2024-07-08,0.0
2024-07-09,0.0
2024-07-10,0.0
2024-07-11,0.0
2024-07-12,0.0
2024-07-15,0.002625227152828133
2024-07-16,0.010010297050134329
2024-07-17,-0.004933371650605208
2024-07-18,-0.011833615400122234
2024-07-19,-0.004044566157241328
2024-07-22,0.009321107760459676
2024-07-23,0.007741817172000095
2024-07-24,-0.01954845305715848
2024-07-25,0.00913929321078841
2024-07-26,0.014668128118670319
2024-07-29,-0.011255280013854136
2024-07-30,0.0037885841111420238
2024-07-31,0.005795871289188792
2024-08-01,-0.032520285089586154
2024-08-02,-0.030287887353545095
2024-08-05,-0.022740845547609623
2024-08-06,0.0028935963384862113
2024-08-07,-0.006694560905006201
2024-08-08,0.007863385071247569
2024-08-09,-0.000128917444899058
2024-08-12,-0.0011621261207036006
2024-08-13,-0.00021749999999999984
2024-08-14,0.0
2024-08-15,0.0
2024-08-16,0.0
2024-08-19,0.0
2024-08-20,0.0
2024-08-21,0.0
2024-08-22,0.0
2024-08-23,0.0
2024-08-26,0.0
2024-08-27,0.0
2024-08-28,0.0
2024-08-29,0.0
2024-08-30,0.0
2024-09-03,0.0
2024-09-04,0.0
2024-09-05,0.0
2024-09-06,0.0
2024-09-09,0.0
2024-09-10,0.0
2024-09-11,0.0
2024-09-12,0.0
2024-09-13,0.0
2024-09-16,0.0
2024-09-17,0.0
2024-09-18,0.0
2024-09-19,0.0
2024-09-20,0.0
2024-09-23,0.0
2024-09-24,0.0
2024-09-25,0.0
2024-09-26,0.0
2024-09-27,0.0
2024-09-30,0.0
2024-10-01,0.0
2024-10-02,0.0
2024-10-03,0.0
2024-10-04,0.0001632705236672778
2024-10-07,0.0039057970914120857
2024-10-08,-0.010730097099509806
2024-10-09,-0.0028325850290833367
2024-10-10,0.0027342446103656637
2024-10-11,-0.00022500000000000005
2024-10-14,0.0
2024-10-15,0.0
2024-10-16,0.0
2024-10-17,0.0
2024-10-18,0.0
2024-10-21,0.0
2024-10-22,0.0
2024-10-23,0.0
2024-10-24,0.0
2024-10-25,0.0
2024-10-28,0.0
2024-10-29,0.0
2024-10-30,0.0
2024-10-31,0.0
2024-11-01,0.0
2024-11-04,0.0
